2025-01-19 15:46:01 status unpacked libdebconfclient0:armel 0.227
2025-01-19 15:46:01 status unpacked libdebconfclient0:armel 0.227
2025-01-19 15:46:01 install libfdisk1:armel <none> 2.29.2-1+deb9u1
2025-01-19 15:46:01 status half-installed libfdisk1:armel 2.29.2-1+deb9u1
2025-01-19 15:46:01 status unpacked libfdisk1:armel 2.29.2-1+deb9u1
2025-01-19 15:46:01 status unpacked libfdisk1:armel 2.29.2-1+deb9u1
2025-01-19 15:46:02 install libgcc1:armel <none> 1:6.3.0-18+deb9u1
2025-01-19 15:46:02 status half-installed libgcc1:armel 1:6.3.0-18+deb9u1
2025-01-19 15:46:02 status unpacked libgcc1:armel 1:6.3.0-18+deb9u1
2025-01-19 15:46:02 status unpacked libgcc1:armel 1:6.3.0-18+deb9u1
2025-01-19 15:46:02 install libgcrypt20:armel <none> 1.7.6-2+deb9u3
2025-01-19 15:46:02 status half-installed libgcrypt20:armel 1.7.6-2+deb9u3
2025-01-19 15:46:02 status unpacked libgcrypt20:armel 1.7.6-2+deb9u3
2025-01-19 15:46:02 status unpacked libgcrypt20:armel 1.7.6-2+deb9u3
2025-01-19 15:46:02 install libgpg-error0:armel <none> 1.26-2
2025-01-19 15:46:02 status half-installed libgpg-error0:armel 1.26-2
2025-01-19 15:46:02 status unpacked libgpg-error0:armel 1.26-2
2025-01-19 15:46:02 status unpacked libgpg-error0:armel 1.26-2
2025-01-19 15:46:02 install liblz4-1:armel <none> 0.0~r131-2+b1
2025-01-19 15:46:02 status half-installed liblz4-1:armel 0.0~r131-2+b1
2025-01-19 15:46:02 status unpacked liblz4-1:armel 0.0~r131-2+b1
2025-01-19 15:46:02 status unpacked liblz4-1:armel 0.0~r131-2+b1
2025-01-19 15:46:02 install liblzma5:armel <none> 5.2.2-1.2+b1
2025-01-19 15:46:02 status half-installed liblzma5:armel 5.2.2-1.2+b1
2025-01-19 15:46:02 status unpacked liblzma5:armel 5.2.2-1.2+b1
2025-01-19 15:46:02 status unpacked liblzma5:armel 5.2.2-1.2+b1
2025-01-19 15:46:02 install libmount1:armel <none> 2.29.2-1+deb9u1
2025-01-19 15:46:02 status half-installed libmount1:armel 2.29.2-1+deb9u1
2025-01-19 15:46:03 status unpacked libmount1:armel 2.29.2-1+deb9u1
2025-01-19 15:46:03 status unpacked libmount1:armel 2.29.2-1+deb9u1
2025-01-19 15:46:03 install libncursesw5:armel <none> 6.0+20161126-1+deb9u2
2025-01-19 15:46:03 status half-installed libncursesw5:armel 6.0+20161126-1+deb9u2
2025-01-19 15:46:03 status unpacked libncursesw5:armel 6.0+20161126-1+deb9u2
2025-01-19 15:46:03 status unpacked libncursesw5:armel 6.0+20161126-1+deb9u2
2025-01-19 15:46:03 install libpam-modules:armel <none> 1.1.8-3.6
2025-01-19 15:46:03 status half-installed libpam-modules:armel 1.1.8-3.6
2025-01-19 15:46:03 status unpacked libpam-modules:armel 1.1.8-3.6
2025-01-19 15:46:03 status unpacked libpam-modules:armel 1.1.8-3.6
2025-01-19 15:46:03 install libpam-modules-bin:armel <none> 1.1.8-3.6
2025-01-19 15:46:03 status half-installed libpam-modules-bin:armel 1.1.8-3.6
2025-01-19 15:46:04 status unpacked libpam-modules-bin:armel 1.1.8-3.6
2025-01-19 15:46:04 status unpacked libpam-modules-bin:armel 1.1.8-3.6
2025-01-19 15:46:04 install libpam-runtime:all <none> 1.1.8-3.6
2025-01-19 15:46:04 status half-installed libpam-runtime:all 1.1.8-3.6
2025-01-19 15:46:04 status unpacked libpam-runtime:all 1.1.8-3.6
2025-01-19 15:46:04 status unpacked libpam-runtime:all 1.1.8-3.6
2025-01-19 15:46:04 install libpam0g:armel <none> 1.1.8-3.6
2025-01-19 15:46:04 status half-installed libpam0g:armel 1.1.8-3.6
2025-01-19 15:46:04 status unpacked libpam0g:armel 1.1.8-3.6
2025-01-19 15:46:04 status unpacked libpam0g:armel 1.1.8-3.6
2025-01-19 15:46:04 install libpcre3:armel <none> 2:8.39-3
2025-01-19 15:46:04 status half-installed libpcre3:armel 2:8.39-3
2025-01-19 15:46:04 status unpacked libpcre3:armel 2:8.39-3
2025-01-19 15:46:04 status unpacked libpcre3:armel 2:8.39-3
2025-01-19 15:46:04 install libselinux1:armel <none> 2.6-3+b3
2025-01-19 15:46:04 status half-installed libselinux1:armel 2.6-3+b3
2025-01-19 15:46:04 status unpacked libselinux1:armel 2.6-3+b3
2025-01-19 15:46:04 status unpacked libselinux1:armel 2.6-3+b3
